Ipswich,beat,Leeds,01/11/1994
Crystal Palace,beat,Coventry,02/11/1994
Blackburn,beat,Sheffield Weds,02/11/1994
Southampton,tied,Norwich,02/11/1994
Blackburn,beat,Tottenham,05/11/1994
Crystal Palace,beat,Ipswich,05/11/1994
Leeds,beat,Wimbledon,05/11/1994
Liverpool,beat,Nott'm Forest,05/11/1994
Man City,tied,Southampton,05/11/1994
Newcastle,beat,QPR,05/11/1994
Norwich,tied,Everton,05/11/1994
West Ham,beat,Leicester,05/11/1994
Arsenal,tied,Sheffield Weds,06/11/1994
Man United,beat,Aston Villa,06/11/1994
Chelsea,tied,Coventry,06/11/1994
Nott'm Forest,tied,Newcastle,07/11/1994
Liverpool,beat,Chelsea,09/11/1994
Wimbledon,beat,Aston Villa,09/11/1994
Man United,beat,Man City,10/11/1994
Coventry,beat,Norwich,19/11/1994
Blackburn,beat,Ipswich,19/11/1994
Man United,beat,Crystal Palace,19/11/1994
Chelsea,beat,Nott'm Forest,19/11/1994
QPR,beat,Leeds,19/11/1994
Sheffield Weds,beat,West Ham,19/11/1994
Southampton,beat,Arsenal,19/11/1994
Aston Villa,beat,Tottenham,19/11/1994
Wimbledon,beat,Newcastle,19/11/1994
Man City,beat,Leicester,20/11/1994
Everton,beat,Liverpool,21/11/1994
Leicester,beat,Arsenal,23/11/1994
Tottenham,tied,Chelsea,23/11/1994
Arsenal,tied,Man United,26/11/1994
Blackburn,beat,QPR,26/11/1994
Everton,beat,Chelsea,26/11/1994
Crystal Palace,tied,Southampton,26/11/1994
Leeds,beat,Nott'm Forest,26/11/1994
Liverpool,tied,Tottenham,26/11/1994
Man City,beat,Wimbledon,26/11/1994
Newcastle,tied,Ipswich,26/11/1994
Norwich,beat,Leicester,26/11/1994
Coventry,beat,West Ham,26/11/1994
Aston Villa,tied,Sheffield Weds,27/11/1994
Coventry,tied,Liverpool,03/12/1994
Man City,beat,Ipswich,03/12/1994
Leicester,tied,Aston Villa,03/12/1994
Man United,beat,Norwich,03/12/1994
Nott'm Forest,tied,Arsenal,03/12/1994
Sheffield Weds,beat,Crystal Palace,03/12/1994
Chelsea,beat,Southampton,03/12/1994
Tottenham,beat,Newcastle,03/12/1994
Blackburn,beat,Wimbledon,03/12/1994
Everton,beat,Leeds,04/12/1994
QPR,beat,West Ham,04/12/1994
